Mass,Relative%,Description
290.268632,0.03%,"3-hydroxypalmitic acid(add NH4+), with the error of 0.0014. "
350.305822,0.01%,"adduct of 12-hydroxystearic acid with CH3O radical(add H3O+), with the error of 0.0022. "
358.226665,0.15%,"adduct of 12-hydroxystearic acid with Cl radical(add Na+), with the error of 0.0017. "
330.195906,0.02%,"adduct of 3-hydroxypalmitic acid with Cl radical(add Na+), with the error of 0.0019. "
121.039454,0.01%,"adduct of 3-hydroxypropionic acid with NO radical(add H+), with the error of 0.0015. "
187.094729,0.07%,"adduct of 4-aminobenzoic acid with CH3O radical(add H3O+), with the error of 0.0047. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and cysteine(add H3O+), with the error of 0.0003.adduct of histidine with CH3O radical(add H+), with the error of 0.0013.fumaric acid add 2 oxygens(add K+), with the error of 0.0043."
131.072774,0.01%,"adduct of 4-pentenoic acid with CH3O radical(self); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and itaconic acid(add H+), with the error of 0.0018. decarboxylation coupling (R-R') product of 4-pentenoic acid and cysteine(self), with the error of 0.0032."
153.060065,0.01%,"adduct of 4-pentenoic acid with Cl radical(add NH4+); adduct of betaine with Cl radical(add H+); adduct of valine with Cl radical(add H+), with the error of 0.0041. decarboxylation coupling (R-R') product of pyruvic acid and asparagine(add Na+); decarboxylation coupling (R-R') product of glyoxylic acid and glutamine(add Na+), with the error of 0.0029.adduct of adenine with OH radical(add H+); adduct of malonic acid with CH3O radical(add NH4+); guanine de-NH2 product(add NH4+), with the error of 0.0049."
130.04975,0.03%,"adduct of 4-pentenoic acid with NO radical(self); glutamine de-NH2 product(self), with the error of 0.0003. "
117.054375,0.02%,"adduct of 4-pentenoic acid with OH radical(self); 4-pentenoic acid add 1 oxygen(add H+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and fumaric acid(add H+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and malonic acid(add H+), with the error of 0.0006. adduct of alpha-ketobutyric acid with CH3 radical(self), with the error of 0.0016."
