Mass,Relative%,Description
155.143454,0.04%,"4-pentenoic acid add 1 oxygen(add K+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and fumaric acid(add K+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and malonic acid(add K+), with the error of 0.0015. "
141.055238,0.43%,"4-pentenoic acid add H2O(add Na+), with the error of 0.0022. "
83.049266,0.03%,"acetone reductive hydrogenation product(add Na+), with the error of 0.0013. 4-pentenoic acid de-OH product(self), with the error of 0.0003."
59.049147,0.50%,"acetone(add H+); adduct of acetaldehyde with CH3 radical(self); decarboxylation product of alpha-ketobutyric acid(add H+), with the error of 0.0009. "
81.03351,0.03%,"acetone(add Na+); decarboxylation product of alpha-ketobutyric acid(add Na+), with the error of 0.0015. "
330.265359,0.03%,"adduct of 12-hydroxystearic acid with NO radical(self), with the error of 0.0014. "
121.051187,0.24%,"adduct of 3-hydroxypropionic acid with CH3O radical(self), with the error of 0.0002. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and glyoxylic acid(self), with the error of 0.0008.decarboxylation coupling (R-R') product of pyruvic acid and malonic acid(add H3O+), with the error of 0.0028.alpha-ketobutyric acid(add H3O+); carnitine de-trimethylamine product(add H3O+); decarboxylation product of alpha-ketoglutaric acid(add H3O+), with the error of 0.0038.decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and cysteine(self), with the error of 0.0048."
108.044707,0.04%,"adduct of 3-hydroxypropionic acid with OH radical(add H+), with the error of 0.0017. serine de-NH2 product(add H3O+); adduct of glyoxylic acid with CH3 radical(add H3O+), with the error of 0.0023."
131.070647,0.07%,"adduct of 4-pentenoic acid with CH3O radical(self); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and itaconic acid(add H+), with the error of 0.0004. "
154.04815,0.38%,"adduct of 4-pentenoic acid with Cl radical(add H3O+), with the error of 0.0041. decarboxylation coupling (R-R') product of glycine and alpha-ketoglutaric acid(add Na+); decarboxylation C-N coupling product of alpha-ketobutyric acid and glycine(add Na+); decarboxylation coupling (RCOOR') product of glycine and alpha-ketobutyric acid(add Na+); decarboxylation coupling (R-R') product of fumaric acid and serine(add Na+); hydroxyproline(add Na+), with the error of 0.0001.adduct of hypoxanthine with OH radical(add H+), with the error of 0.0019.adduct of 4-aminobenzoic acid with OH radical(self), with the error of 0.0028.adduct of malonic acid with CH3O radical(add H3O+); guanine de-NH2 product(add H3O+), with the error of 0.0049."
153.060354,0.38%,"adduct of 4-pentenoic acid with Cl radical(add NH4+); adduct of betaine with Cl radical(add H+); adduct of valine with Cl radical(add H+), with the error of 0.0044. decarboxylation coupling (R-R') product of pyruvic acid and asparagine(add Na+); decarboxylation coupling (R-R') product of glyoxylic acid and glutamine(add Na+), with the error of 0.0026.adduct of adenine with OH radical(add H+); adduct of malonic acid with CH3O radical(add NH4+); guanine de-NH2 product(add NH4+), with the error of 0.0046."
169.15104,0.02%,"adduct of 4-pentenoic acid with NO radical(add K+); glutamine de-NH2 product(add K+), with the error of 0.003. "
