Mass,Relative%,Description
283.26439,0.+B2:B125001%,"12-hydroxystearic acid de-OH product(self); sphingosine de-NH2 product(self), with the error of 0.0014. elaidic acid(add H+); oleic acid(add H+), with the error of 0.0004."
121.028829,0.01%,"4-aminobenzoic acid de-NH2 product(self), with the error of 0.0002. "
156.072419,0.02%,"4-aminobenzoic acid(add H3O+), with the error of 0.0014. decarboxylation C-N coupling product of threonine and urea(add Na+), with the error of 0.0016.histidine(add H+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and cytosine(add H+), with the error of 0.0046."
141.055042,0.26%,"4-pentenoic acid add H2O(add Na+), with the error of 0.002. "
118.091571,0.01%,"4-pentenoic acid(add NH4+); betaine(add H+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and pyruvic acid(add NH4+); reductive amination product of glycine and acetone(add H+); valine(add H+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and serine(add H+), with the error of 0.0046. decarboxylation coupling (R-R') product of glyoxylic acid and proline(add H3O+), with the error of 0.0016.adduct of acetaldehyde with Cl radical(add K+), with the error of 0.0014."
83.049246,0.02%,"acetone reductive hydrogenation product(add Na+), with the error of 0.0012. 4-pentenoic acid de-OH product(self), with the error of 0.0002."
59.049135,0.20%,"acetone(add H+); adduct of acetaldehyde with CH3 radical(self); decarboxylation product of alpha-ketobutyric acid(add H+), with the error of 0.0009. "
81.033646,0.03%,"acetone(add Na+); decarboxylation product of alpha-ketobutyric acid(add Na+), with the error of 0.0016. "
332.296519,0.01%,"adduct of 12-hydroxystearic acid with CH3O radical(add H+), with the error of 0.0035. adduct of oleic acid with CH3O radical(add H3O+); decarboxylation coupling (R-R') product of 3-hydroxypalmitic acid and methionine(add H+); decarboxylation coupling (R-R') product of 12-hydroxystearic acid and cysteine(add H+); adduct of elaidic acid with CH3O radical(add H3O+), with the error of 0.0015."
320.263667,0.01%,"adduct of 3-hydroxypalmitic acid with NO radical(add NH4+), with the error of 0.0043. "
138.06892,0.01%,"adduct of 3-hydroxypropionic acid with NO radical(add NH4+), with the error of 0.0039. histidine de-OH product(self); leucine de-NH2 product(add Na+); adduct of 4-pentenoic acid with CH3 radical(add Na+), with the error of 0.0029.dopamine de-NH2 product(add H+), with the error of 0.0009."
130.022103,0.01%,"adduct of 3-hydroxypropionic acid with OH radical(add Na+), with the error of 0.0029. decarboxylation coupling (RCOOR') product of pyruvic acid and pyruvic acid(self); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and glyoxylic acid(self); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and glyoxylic acid(self); decarboxylation coupling (R-R') product of oxaloacetic acid and pyruvic acid(self); decarboxylation coupling (R-R') product of fumaric acid and malonic acid(self), with the error of 0.0039.itaconic acid(self), with the error of 0.0049."
171.099565,0.03%,"adduct of 4-aminobenzoic acid with CH3 radical(add H3O+), with the error of 0.0046. adduct of histidine with CH3 radical(add H+), with the error of 0.0014.decarboxylation coupling (RCOOR') product of glyoxylic acid and malonic acid(add K+), with the error of 0.0034.fumaric acid add 1 oxygen(add K+); oxaloacetic acid(add K+), with the error of 0.0044."
187.09499,0.83%,"adduct of 4-aminobenzoic acid with CH3O radical(add H3O+), with the error of 0.005. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and cysteine(add H3O+), with the error of 0.0.adduct of histidine with CH3O radical(add H+), with the error of 0.001.fumaric acid add 2 oxygens(add K+), with the error of 0.004."
