SPECTRUM - MS,,,
2025-02-25-Xiaowei-08.raw,,,
FTMS + p ESI Full ms [50.00-600.00],,,
Scan #: 65-78,,,
RT: 0.31-0.37,,,
AV: 14,,,
Data points: 20093,,,
Mass,Intensity,rel abund,peak
50.014886,26.030493,0.003876411,TRUE
50.086384,22.989573,0.003423563,TRUE
50.17734,25.257216,0.003761256,TRUE
50.22451,24.048777,0.003581298,TRUE
50.247206,24.390451,0.003632179,TRUE
50.372689,24.59744,0.003663004,TRUE
50.478079,26.446583,0.003938374,TRUE
50.571335,28.376887,0.004225832,TRUE
50.644646,21.866973,0.003256388,TRUE
50.779052,25.796645,0.003841587,TRUE
50.783851,24.856681,0.003701609,TRUE
50.934981,21.708486,0.003232786,TRUE
51.398115,26.306421,0.003917502,TRUE
51.459333,21.643021,0.003223037,TRUE
51.552948,21.374863,0.003183104,TRUE
51.631737,25.044408,0.003729565,TRUE
51.712776,22.124884,0.003294795,TRUE
51.853855,23.588087,0.003512693,TRUE
52.005297,20.94948,0.003119756,TRUE
52.187228,21.333282,0.003176911,TRUE
52.359741,23.213105,0.003456851,TRUE
52.381466,22.069984,0.00328662,TRUE
52.42918,22.526796,0.003354647,TRUE
52.444125,21.590169,0.003215167,TRUE
52.491761,22.969688,0.003420602,TRUE
52.492087,28.532539,0.004249011,TRUE
52.492412,28.675125,0.004270245,TRUE
52.526107,22.823831,0.003398881,TRUE
52.661537,20.483824,0.003050412,TRUE
52.692612,21.159701,0.003151062,TRUE
52.706524,22.114004,0.003293175,TRUE
52.719458,23.242787,0.003461271,TRUE
52.84824,19.85249,0.002956395,TRUE
52.892808,21.915466,0.003263609,TRUE
53.028669,23.743128,0.003535781,TRUE
53.033625,20.864679,0.003107128,TRUE
53.146319,27.977416,0.004166343,TRUE
53.265858,22.497475,0.003350281,TRUE
53.351275,23.864783,0.003553898,TRUE
53.449267,22.447353,0.003342817,TRUE
53.571507,28.626052,0.004262937,TRUE
53.707972,21.295084,0.003171223,TRUE
53.832453,24.364506,0.003628315,TRUE
54.237542,25.664834,0.003821958,TRUE
54.261814,27.589656,0.004108599,TRUE
54.265405,21.180304,0.00315413,TRUE
54.386854,20.917445,0.003114986,TRUE
54.447474,22.514974,0.003352887,TRUE
54.555052,25.924511,0.003860628,TRUE
54.699275,25.429125,0.003786856,TRUE
54.774809,21.13788,0.003147813,TRUE
54.858669,22.415572,0.003338084,TRUE
54.911026,24.310921,0.003620336,TRUE
55.017014,21.580487,0.003213725,TRUE
55.151858,19.147832,0.002851458,TRUE
55.356906,21.733248,0.003236474,TRUE
55.412979,20.042835,0.002984741,TRUE
55.443343,20.347969,0.00303018,TRUE
55.569479,26.371627,0.003927212,TRUE
55.605825,21.862797,0.003255766,TRUE
55.67187,22.022178,0.0032795,TRUE
55.904675,24.894409,0.003707228,TRUE
56.080687,21.920023,0.003264288,TRUE
56.208825,24.996505,0.003722432,TRUE
56.536372,21.831396,0.00325109,TRUE
56.540009,23.371075,0.003480376,TRUE
56.642726,21.586769,0.00321466,TRUE
56.754866,26.475849,0.003942733,TRUE
56.964697,50.378399,0.007502254,TRUE
57.059168,22.192054,0.003304798,TRUE
57.210109,24.855263,0.003701398,TRUE
57.440718,25.000149,0.003722974,TRUE
57.820276,21.040731,0.003133345,TRUE
57.974249,24.68716,0.003676364,TRUE
58.064997,2274.286112,0.338682323,TRUE
58.134146,23.403661,0.003485228,TRUE
58.182529,25.232457,0.003757569,TRUE
58.229262,24.73596,0.003683632,TRUE
58.24295,24.060617,0.003583061,TRUE
58.259877,24.193597,0.003602864,TRUE
58.44752,23.847562,0.003551333,TRUE
58.647982,27.66229,0.004119415,TRUE
58.717983,22.530701,0.003355229,TRUE
58.800645,24.61372,0.003665428,TRUE
58.851987,22.141161,0.003297219,TRUE
58.988777,19.017802,0.002832095,TRUE
59.255008,28.256853,0.004207956,TRUE
59.302453,24.466154,0.003643453,TRUE
59.375587,22.637755,0.003371171,TRUE
59.525011,26.738952,0.003981913,TRUE
59.820014,27.498956,0.004095092,TRUE
59.855458,22.042028,0.003282457,TRUE
59.858034,27.749493,0.004132401,TRUE
59.894107,22.078514,0.00328789,TRUE
59.97112,22.92578,0.003414063,TRUE
59.988408,24.148207,0.003596105,TRUE
60.0443,47.465403,0.007068457,TRUE
60.080542,8781.669499,1.307749366,TRUE
60.998786,23.88469,0.003556862,TRUE
61.007143,141.095858,0.021011724,TRUE
61.010609,54.411489,0.008102855,TRUE
61.021007,21.059582,0.003136153,TRUE
61.028349,214.484899,0.031940679,TRUE
61.039976,20.305236,0.003023817,TRUE
61.0563,24.841356,0.003699327,TRUE
61.084067,103.6773,0.015439425,TRUE
61.322901,24.213192,0.003605782,TRUE
61.358251,19.724168,0.002937285,TRUE
61.396718,22.394724,0.003334979,TRUE
61.564999,26.37678,0.003927979,TRUE
61.764486,22.807164,0.003396399,TRUE
61.76594,23.290167,0.003468327,TRUE
62.046824,22.612429,0.0033674,TRUE
62.106036,26.305036,0.003917295,TRUE
62.405059,25.320059,0.003770615,TRUE
62.515715,26.498752,0.003946143,TRUE
62.760663,20.542838,0.0030592,TRUE
62.805354,24.115322,0.003591207,TRUE
62.902134,23.502045,0.003499879,TRUE
62.92882,75.272855,0.011209489,TRUE
63.624315,20.041613,0.002984559,TRUE
63.705155,21.775331,0.00324274,TRUE
63.997633,270.662221,0.040306498,TRUE
64.133641,23.917514,0.00356175,TRUE
64.283972,21.411274,0.003188526,TRUE
64.607989,21.747493,0.003238595,TRUE
64.844346,23.443115,0.003491104,TRUE
64.861997,26.960892,0.004014964,TRUE
64.963572,21.374961,0.003183118,TRUE
65.182294,23.762968,0.003538736,TRUE
65.223062,25.965646,0.003866754,TRUE
65.296584,20.165535,0.003003013,TRUE
65.299519,20.679459,0.003079545,TRUE
65.368875,22.863376,0.00340477,TRUE
65.492271,21.709633,0.003232957,TRUE
66.055002,20.714895,0.003084822,TRUE
66.110156,20.5547,0.003060966,TRUE
66.300507,21.410656,0.003188434,TRUE
66.313211,23.601495,0.003514689,TRUE
66.62176,21.861208,0.003255529,TRUE
66.643633,29.219368,0.004351292,TRUE
66.644098,30.524484,0.004545648,TRUE
66.669475,26.700657,0.003976211,TRUE
66.730297,22.280718,0.003318002,TRUE
66.74639,24.288098,0.003616937,TRUE
66.790969,21.725792,0.003235363,TRUE
66.851022,25.760254,0.003836168,TRUE
66.866224,25.6516,0.003819987,TRUE
67.029322,23.021837,0.003428368,TRUE
67.26022,20.318553,0.0030258,TRUE
67.42121,19.680455,0.002930776,TRUE
67.607979,25.79992,0.003842075,TRUE
67.635098,21.943276,0.003267751,TRUE
67.767595,24.104923,0.003589659,TRUE
67.959641,21.677699,0.003228201,TRUE
68.031599,23.985408,0.003571861,TRUE
68.049366,318.233942,0.047390788,TRUE
68.341356,24.706868,0.003679299,TRUE
68.467209,26.319384,0.003919432,TRUE
68.679767,20.734092,0.003087681,TRUE
68.996909,25.059649,0.003731835,TRUE
