SPECTRUM - MS,
ESI_metabolome water_pos (separate channel)_no vol_volt then volt on.raw,
FTMS + p NSI Full ms [50.00-100.00],
Scan #: 118-125,
RT: 1.11-1.17,
AV: 8,
Data points: 6617,
Mass,Intensity
50.00005,0
50.000126,0
50.000201,0
50.000277,0
50.364423,0
50.364499,0
50.364576,0
50.364652,0
50.364728,8.94292
50.364805,13.953637
50.364881,19.669013
50.364958,15.594446
50.365034,11.17756
50.365111,6.187864
50.365187,0.091686
50.365264,0
50.36534,0
50.365417,0
50.365493,0
50.429241,0
50.429317,0
50.429394,0
50.429471,0
50.429547,7.618228
50.429624,11.130542
50.4297,12.089219
50.429777,9.905814
50.429854,5.98557
50.42993,0.053455
50.430007,0
50.430083,0
50.43016,0
50.430237,0
50.511994,0
50.512071,0
50.512148,0
50.512225,0
50.512301,5.745086
50.512378,12.020578
50.512455,16.830008
50.512532,18.200462
50.512609,12.960281
50.512685,7.309357
50.512762,0.124005
50.512839,0
50.512916,0
50.512993,0
50.513069,0
50.549027,0
50.549104,0
50.549181,0
50.549258,0
50.549334,6.495841
50.549411,10.475868
50.549488,12.596723
50.549565,11.368606
50.549642,7.463826
50.549719,0.126953
50.549796,0
50.549873,0
50.549949,0
50.550026,0
50.688379,0
50.688456,0
50.688533,0
50.68861,0
50.688687,7.318898
50.688765,12.159331
50.688842,14.889133
50.688919,13.43475
50.688996,8.731518
50.689073,0.13617
50.689151,0
50.689228,0
50.689305,0
50.689382,0
50.749879,0
50.749956,0
50.750034,0
50.750111,0
50.750188,6.342284
50.750266,10.07605
50.750343,12.346219
50.75042,11.449253
50.750498,7.66416
50.750575,0.124088
50.750652,0
50.75073,0
50.750807,0
50.750884,0
50.962746,0
50.962824,0
50.962901,0
50.962979,0
50.963057,10.132108
50.963135,13.475384
50.963213,13.75718
50.963291,10.664605
50.963368,5.876379
50.963446,0.095177
50.963524,0
50.963602,0
50.96368,0
50.963757,0
50.998717,0
50.998795,0
50.998873,0
50.998951,0
50.999029,16.408302
50.999107,30.01852
50.999185,36.778622
50.999263,27.307485
50.999341,13.824399
50.999418,0.235663
50.999496,0
50.999574,0
50.999652,0
50.99973,0
51.056413,0
51.056491,0
51.05657,0
51.056648,0
51.056726,0.392788
51.056804,7.714251
51.056882,22.04411
51.05696,349.191958
51.057038,1825.661087
51.057116,5493.292358
51.057194,10175.19583
51.057272,14470.5181
51.05735,13751.8689
51.057428,9016.041407
51.057506,4519.500264
51.057584,1470.836786
51.057662,304.442992
51.05774,17.886234
51.057818,0.054216
51.057896,0
51.057974,0
51.058052,0
51.05813,0
51.286451,0
51.28653,0
51.286608,0
51.286687,0
51.286766,8.333293
51.286844,11.838268
51.286923,13.304179
51.287001,11.82398
51.28708,8.106007
51.287158,0.78097
51.287237,0
51.287316,0
