SPECTRUM - MS,
nESI_metabolome_water_pos.raw,
FTMS + p NSI Full ms [50.00-100.00],
Scan #: 53-65,
RT: 0.25-0.32,
AV: 13,
Data points: 6996,
Mass,Intensity
50.000041,0
50.000116,0
50.000192,0
50.000267,0
50.247796,0
50.247872,0
50.247949,0
50.248025,0
50.248101,9.646688
50.248177,17.829255
50.248253,21.719225
50.24833,19.919912
50.248406,14.435922
50.248482,1.868317
50.248558,4.279787
50.248634,21.50937
50.24871,23.071565
50.248787,17.712745
50.248863,9.528684
50.248939,1.183092
50.249015,0
50.249091,0
50.249168,0
50.249244,0
50.251453,0
50.25153,0
50.251606,0
50.251682,0
50.251758,8.459651
50.251834,15.664349
50.251911,18.544941
50.251987,15.651973
50.252063,9.65623
50.252139,1.238797
50.252215,0
50.252292,0
50.252368,0
50.252444,0
50.392942,0
50.393019,0
50.393095,0
50.393172,0
50.393248,8.155702
50.393325,15.314037
50.393401,20.391079
50.393478,20.596197
50.393554,15.407609
50.393631,2.055918
50.393707,0
50.393784,0
50.39386,0
50.393937,0
50.495019,0
50.495095,0
50.495172,0
50.495249,0
50.495326,8.437032
50.495402,16.228966
50.495479,21.658524
50.495556,22.045933
50.495633,17.425599
50.495709,10.573721
50.495786,0.770294
50.495863,0
50.49594,0
50.496016,0
50.496093,0
50.792042,0
50.792119,0
50.792197,0
50.792274,0
50.792351,8.748877
50.792429,16.828123
50.792506,21.970491
50.792584,21.929143
50.792661,17.201361
50.792739,11.092264
50.792816,1.449895
50.792893,0
50.792971,0
50.793048,0
50.793126,0
50.975189,0
50.975267,0
50.975345,0
50.975423,0
50.975501,11.308783
50.975579,17.11503
50.975657,18.61036
50.975734,16.262907
50.975812,11.42335
50.97589,2.096435
50.975968,0
50.976046,0
50.976124,0
50.976201,0
51.043375,0
51.043453,0
51.043531,0
51.043609,0
51.043687,10.449504
51.043765,16.943927
51.043843,18.947809
51.043921,16.367996
51.043999,10.992246
51.044077,1.449053
51.044155,0
51.044233,0
51.044311,0
51.044389,0
51.044467,8.396169
51.044545,14.546876
51.044623,17.979312
51.044701,17.367396
51.044779,13.073577
51.044857,0.336111
51.044935,0
51.045013,0
51.045091,0
51.045169,0
51.055779,0
51.055857,0
51.055935,0
51.056014,0
51.056092,16.650104
51.05617,16.733786
51.056248,9.068505
51.056326,0
51.056404,0
51.056482,0
51.05656,0
51.056638,0
51.056716,0
51.056794,22.994843
51.056872,50.963033
51.05695,586.882853
51.057028,3722.361111
51.057106,12207.39023
51.057184,23349.20106
51.057262,34445.28613
51.05734,33949.96948
51.057418,23047.70061
51.057496,12018.95362
51.057574,4232.279335
51.057652,1024.087829
51.05773,185.063799
51.057808,80.877399
51.057886,22.98847
51.057964,2.757195
51.058042,0
51.05812,0
51.058199,0
51.058277,0
51.058667,0
51.058745,0
51.058823,0
51.058901,0
51.058979,21.719288
51.059057,21.789116
51.059135,15.195278
51.059213,2.067929
51.059291,0
51.059369,0
51.059447,0
51.059525,0
51.292413,0
51.292491,0
51.29257,0
51.292648,0
51.292727,10.430356
51.292806,15.580929
51.292884,18.945124
51.292963,19.899489
51.293041,16.984737
51.29312,10.946727
51.293198,1.498249
51.293277,0
51.293356,0
51.293434,0
51.293513,0
51.396605,0
51.396684,0
51.396763,0
51.396842,0
51.39692,9.590755
51.396999,15.997728
51.397078,19.775718
51.397157,19.578434
51.397236,15.324196
51.397315,2.192668
51.397393,0
51.397472,0
51.397551,0
51.39763,0
51.555232,0
51.555311,0
51.55539,0
51.55547,0
51.555549,9.677508
51.555628,47.606212
51.555707,93.124867
51.555786,131.186275
51.555866,126.159681
51.555945,84.366814
51.556024,35.280497
51.556103,2.103512
51.556182,0
51.556261,0
51.556341,0
51.55642,0
51.55832,0
51.558399,0
51.558479,0
51.558558,0
51.558637,17.438176
51.558716,214.243093
51.558795,805.224563
51.558875,1584.081544
51.558954,2324.59233
51.559033,2208.095272
51.559112,1444.491197
51.559191,689.185292
51.559271,218.571296
51.55935,42.559591
51.559429,4.110288
51.559508,0
51.559587,0
51.559666,0
51.559746,0
51.963599,0
51.963679,0
51.963759,0
51.96384,0
51.96392,8.873549
51.964,17.053333
51.96408,25.033303
51.96416,27.995209
51.96424,16.287419
51.96432,2.263115
51.9644,0
51.964481,0
51.964561,0
51.964641,0
52.074747,0
52.074828,0
52.074908,0
52.074988,0
52.075069,9.56789
52.075149,16.748575
52.07523,19.367955
52.07531,16.188256
52.07539,9.32942
52.075471,1.332814
52.075551,0
52.075632,0
52.075712,0
52.075792,0
52.087208,0
52.087289,0
52.087369,0
52.08745,0
52.08753,10.902491
52.087611,18.120295
52.087691,21.372031
52.087771,19.548028
52.087852,13.60082
52.087932,2.122107
52.088013,0
52.088093,0
52.088173,0
52.088254,0
52.269167,0
52.269248,0
52.269328,0
52.269409,0
52.26949,8.446439
52.269571,15.061668
52.269652,18.53516
52.269733,17.325432
52.269813,12.074368
52.269894,1.910991
52.269975,0
52.270056,0
52.270137,0
52.270218,0
52.418619,0
52.4187,0
52.418781,0
52.418863,0
52.418944,10.573648
52.419025,17.441238
52.419106,20.504072
52.419187,18.6618
52.419268,12.805858
52.41935,2.022303
52.419431,0
52.419512,0
52.419593,0
52.419674,0
52.502658,0
52.502739,0
52.50282,0
52.502902,0
52.502983,8.64739
52.503064,15.417461
52.503146,18.664811
52.503227,17.421031
52.503309,12.936615
52.50339,2.089166
52.503471,0
52.503553,0
52.503634,0
52.503715,0
52.855386,0
52.855468,0
52.85555,0
52.855633,0
52.855715,9.333813
52.855797,15.835875
52.855879,18.564434
52.855961,17.23948
52.856044,12.799978
52.856126,2.074465
52.856208,0
52.85629,0
52.856372,0
52.856455,0
52.964215,0
52.964297,0
52.96438,0
52.964462,0
52.964544,11.020291
52.964627,16.54404
52.964709,18.337515
52.964792,17.120089
52.964874,13.166018
52.964957,2.156275
52.965039,0
52.965122,0
52.965204,0
52.965286,0
53.038,0
53.038083,0
53.038166,0
53.038248,0
53.038331,44.62445
53.038413,127.601427
53.038496,234.563168
53.038579,317.466922
53.038661,265.660512
53.038744,155.078098
53.038827,52.396705
53.038909,6.695144
53.038992,0
53.039074,0
53.039157,0
53.03924,0
53.062382,0
53.062464,0
53.062547,0
53.06263,0
53.062713,7.610518
53.062795,15.572834
53.062878,22.292482
53.062961,24.577267
53.063043,20.852152
53.063126,13.633359
53.063209,2.213682
53.063291,0
53.063374,0
53.063457,0
53.063539,0
53.526748,0
53.526832,0
53.526916,0
53.527,0
53.527084,9.883539
53.527167,17.535856
53.527251,20.755782
53.527335,18.886941
53.527419,13.462684
53.527502,2.423856
53.527586,0
53.52767,0
53.527754,0
53.527837,0
53.984594,0
53.984679,0
53.984764,0
53.984848,0
53.984933,9.48196
53.985018,16.127003
53.985103,19.01213
53.985188,17.672112
53.985273,12.844711
53.985358,2.245088
53.985442,0
53.985527,0
53.985612,0
53.985697,0
54.099654,0
54.099739,0
54.099824,0
54.099909,0
54.099994,10.930859
54.10008,17.607247
54.100165,19.694624
54.10025,17.106049
54.100335,11.084085
54.10042,1.949745
54.100505,0
54.10059,0
54.100675,0
54.10076,0
54.606206,0
54.606292,0
54.606378,0
54.606464,0
54.606551,11.389847
54.606637,18.967065
54.606723,21.60236
54.60681,19.322819
54.606896,13.53208
54.606982,2.473288
54.607069,0
54.607155,0
54.607241,0
54.607328,0
54.722307,0
54.722394,0
54.72248,0
54.722567,0
54.722654,10.990255
54.72274,18.888876
54.722827,22.452318
54.722913,21.275726
54.723,16.163081
54.723086,3.044449
54.723173,0
54.72326,0
54.723346,0
54.723433,0
54.763806,0
54.763893,0
54.763979,0
54.764066,0
54.764153,9.882923
54.76424,17.238255
54.764326,19.318917
54.764413,16.253641
54.7645,10.323951
54.764586,1.837455
54.764673,0
54.76476,0
54.764846,0
54.764933,0
54.790689,0
54.790775,0
54.790862,0
54.790949,0
54.791036,8.490989
54.791122,15.169743
54.791209,19.200154
54.791296,19.474087
54.791383,15.757602
54.791469,2.993187
54.791556,0
54.791643,0
54.79173,0
54.791816,0
54.867021,0
54.867108,0
54.867195,0
54.867282,0
54.867369,7.868126
54.867456,14.528265
54.867543,18.410352
54.86763,17.621128
54.867717,12.588802
54.867804,2.321957
54.867891,0
54.867977,0
54.868064,0
54.868151,0
54.933061,0
54.933148,0
54.933236,0
54.933323,0
54.93341,8.162181
54.933497,14.700321
54.933584,17.900081
54.933671,16.663238
54.933758,11.527898
54.933845,2.105485
54.933932,0
54.934019,0
54.934106,0
54.934194,0
55.017198,0
55.017285,0
55.017372,0
55.01746,0
55.017547,36.695012
55.017634,161.421075
55.017722,338.394642
55.017809,510.884441
55.017896,498.23703
55.017983,326.965725
55.018071,145.769016
55.018158,25.784068
55.018245,0.859776
55.018333,0
55.01842,0
55.018507,0
55.018594,0
55.05344,0
55.053528,0
55.053615,0
55.053702,0
55.05379,25.155947
55.053877,203.710764
55.053965,876.376354
55.054052,2457.801665
55.054139,4332.644341
55.054227,5631.54613
55.054314,4721.490931
55.054401,2934.150964
55.054489,1208.371413
55.054576,344.787189
55.054664,63.869597
55.054751,5.400728
55.054838,0
55.054926,0
55.055013,0
55.0551,0
55.122444,0
55.122531,0
55.122619,0
55.122706,0
55.122794,8.609748
55.122881,15.627894
55.122969,20.737101
55.123056,21.715302
55.123144,16.913601
55.123231,3.34522
55.123319,0
55.123406,0
55.123494,0
55.123582,0
55.618256,0
55.618345,0
55.618434,0
55.618523,0
55.618611,10.939307
55.6187,18.273457
55.618789,21.116223
55.618877,19.607472
55.618966,14.567259
55.619055,3.695081
55.619144,0
55.619232,0
55.619321,0
55.61941,0
55.828948,0
55.829037,0
55.829126,0
55.829216,0
55.829305,11.038991
55.829394,18.267708
55.829483,20.421196
55.829573,17.714274
55.829662,11.671818
55.829751,1.891961
55.82984,0
55.829929,0
55.830019,0
55.830108,0
56.048647,0
56.048737,0
56.048826,0
56.048916,0
56.049006,10.243403
56.049096,125.722811
56.049185,592.97031
56.049275,1873.65433
56.049365,3550.578735
56.049455,5061.749444
56.049544,4773.462095
56.049634,3207.586869
56.049724,1515.249304
56.049814,484.858362
56.049903,98.580858
56.049993,23.922539
56.050083,14.844107
56.050173,3.132439
56.050262,0
56.050352,0
56.050442,0
56.050532,0
56.056995,0
56.057085,0
56.057174,0
56.057264,0
56.057354,9.524334
56.057444,43.695449
56.057533,75.149317
56.057623,89.810768
56.057713,73.960636
56.057803,46.204639
56.057893,7.45222
56.057982,0
56.058072,0
56.058162,0
56.058252,0
56.306861,0
56.306952,0
56.307042,0
56.307132,0
56.307223,7.261088
56.307313,14.016896
56.307403,18.03876
56.307494,17.437825
56.307584,12.432913
56.307675,2.996927
56.307765,0
56.307855,0
56.307946,0
56.308036,0
56.317798,0
56.317889,0
56.317979,0
56.318069,0
56.31816,9.429601
56.31825,17.166426
56.318341,21.037796
56.318431,19.977505
56.318521,14.588278
56.318612,2.977218
56.318702,0
56.318793,0
56.318883,0
56.318973,0
56.522209,0
56.522299,0
56.52239,0
56.522481,0
56.522572,9.055796
56.522663,15.515967
56.522754,18.450105
56.522845,17.590916
56.522936,13.163344
56.523027,3.882094
56.523117,0
56.523208,0
56.523299,0
56.52339,0
56.537573,0
56.537664,0
56.537755,0
56.537846,0
56.537936,8.69486
56.538027,17.066934
56.538118,21.076796
56.538209,19.113116
56.5383,13.178198
56.538391,2.667353
56.538482,0
56.538573,0
56.538664,0
56.538755,0
56.597817,0
56.597908,0
56.598,0
56.598091,0
56.598182,10.808069
56.598273,19.205149
56.598364,23.079331
56.598455,21.963863
56.598546,16.813749
56.598637,3.532911
56.598728,0
56.598819,0
56.59891,0
56.599001,0
56.769431,0
56.769522,0
56.769614,0
56.769705,0
56.769797,9.881952
56.769888,17.677101
56.76998,21.218733
56.770071,20.069144
56.770163,15.041277
56.770254,3.381068
56.770346,0
56.770437,0
56.770529,0
56.77062,0
56.78993,0
56.790022,0
56.790113,0
56.790205,0
56.790297,8.998665
56.790388,16.659613
56.79048,20.322384
56.790571,18.572357
56.790663,12.449401
56.790754,2.67747
56.790846,0
56.790937,0
56.791029,0
56.79112,0
56.963798,0
56.96389,0
56.963982,0
56.964074,0
56.964166,9.769077
56.964258,25.534456
56.96435,103.472822
56.964442,417.273626
56.964534,1452.651131
56.964626,3239.422149
56.964718,5302.453296
56.96481,6047.462194
56.964902,4616.735728
56.964994,2608.223911
56.965086,980.831855
56.965178,235.298311
56.96527,32.417655
56.965362,3.074746
56.965454,0
56.965546,0
56.965638,0
56.96573,0
56.998484,0
56.998576,0
56.998668,0
56.99876,0
56.998852,17.591545
56.998944,74.162654
56.999036,140.383364
56.999128,188.846361
56.99922,168.287221
56.999312,104.945542
56.999404,44.227468
56.999496,8.120189
56.999588,0
56.99968,0
56.999772,0
56.999864,0
57.03274,0
57.032832,0
57.032924,0
57.033016,0
57.033109,5.029155
57.033201,91.213139
57.033293,336.144648
57.033385,674.394841
57.033477,966.597306
57.033569,919.324295
57.033661,604.474035
57.033753,269.99769
57.033846,53.073067
57.033938,3.294164
57.03403,0
57.034122,0
57.034214,0
57.034306,0
57.052184,0
57.052276,0
57.052368,0
57.052461,0
57.052553,8.282528
57.052645,16.69054
57.052737,22.215056
57.052829,21.806468
57.052922,15.0373
57.053014,1.90368
57.053106,0
57.053198,0
57.05329,0
57.053382,0
57.056517,0
57.056609,0
57.056701,0
57.056793,0
57.056885,4.702877
57.056978,80.724518
57.05707,347.150123
57.057162,744.359051
57.057254,1157.788832
57.057346,1218.183221
57.057438,866.306275
57.057531,443.234087
57.057623,142.19902
57.057715,14.55746
57.057807,0
57.057899,0
57.057992,0
57.058084,0
57.068964,0
57.069056,0
57.069148,0
57.06924,0
57.069333,4.054312
57.069425,72.264402
57.069517,383.583126
57.069609,1450.69649
57.069702,3668.908476
57.069794,6327.035329
57.069886,7882.053394
57.069978,6449.299806
57.07007,3934.642111
57.070163,1596.350267
57.070255,433.925336
57.070347,90.231274
57.070439,23.74671
57.070531,14.216146
57.070624,2.718242
57.070716,0
57.070808,0
57.0709,0
57.070993,0
57.105684,0
57.105776,0
57.105868,0
57.10596,0
57.106053,8.489382
57.106145,15.824474
57.106237,20.918016
57.10633,22.640623
57.106422,19.980169
57.106514,14.199829
57.106607,4.735662
57.106699,0
57.106791,0
57.106884,0
57.106976,0
57.496001,0
57.496095,0
57.496188,0
57.496281,0
57.496374,10.135554
57.496468,154.136286
57.496561,530.75036
57.496654,1001.816897
57.496748,1363.288723
57.496841,1192.928217
57.496934,745.914277
57.497027,305.708165
57.497121,69.047261
57.497214,8.767061
57.497307,0
57.4974,0
57.497494,0
57.497587,0
57.609659,0
57.609752,0
57.609846,0
57.60994,0
57.610033,8.805228
57.610127,15.07831
57.61022,17.7617
57.610314,16.805862
57.610407,12.411333
57.610501,2.732738
57.610594,0
57.610688,0
57.610781,0
57.610875,0
57.661416,0
57.661509,0
57.661603,0
57.661697,0
57.66179,10.285365
57.661884,18.276159
57.661978,22.343521
57.662071,21.987795
57.662165,17.066921
57.662259,3.826089
57.662352,0
57.662446,0
57.66254,0
57.662633,0
57.894104,0
57.894198,0
57.894292,0
57.894386,0
57.89448,8.853377
57.894575,16.220696
57.894669,19.619171
57.894763,18.174323
57.894857,12.570003
57.894952,2.696913
57.895046,0
57.89514,0
57.895234,0
57.895329,0
58.006204,0
58.006298,0
58.006393,0
58.006487,0
58.006582,12.955119
58.006676,121.12765
58.006771,351.257513
58.006865,635.643265
58.00696,807.578062
58.007054,665.213647
58.007149,389.863443
58.007243,141.439245
58.007338,20.315713
58.007432,0
58.007527,0
58.007621,0
58.007716,0
58.063985,0
58.064079,0
58.064174,0
58.064268,0
58.064363,7.934339
58.064458,23.529739
58.064552,83.239745
58.064647,164.20172
58.064742,925.613293
58.064836,3549.684255
58.064931,9540.753989
58.065026,16918.56929
58.06512,22259.40954
58.065215,19488.46557
58.06531,12598.6406
58.065404,5611.021657
58.065499,1702.38466
58.065593,336.494955
58.065688,83.500411
58.065783,51.473609
58.065877,24.295378
58.065972,4.490773
58.066067,14.521797
58.066161,9.729878
58.066256,1.629566
58.066351,0
58.066445,0
58.06654,0
58.066635,0
58.072503,0
58.072598,0
58.072692,0
58.072787,0
58.072882,11.62185
58.072976,78.892604
58.073071,194.4733
58.073166,313.644184
58.07326,339.909399
58.073355,254.32594
58.07345,142.64524
58.073544,37.970754
58.073639,4.091015
58.073734,0
58.073828,0
58.073923,0
58.074018,0
58.256959,0
58.257054,0
58.257149,0
58.257244,0
58.257339,6.926048
58.257435,15.05203
58.25753,21.271915
58.257625,22.332863
58.25772,17.217838
58.257815,1.083233
58.25791,0
58.258005,0
58.2581,0
58.258195,0
58.485132,0
58.485227,0
58.485323,0
58.485419,0
58.485514,8.797524
58.48561,16.056066
58.485706,18.942786
58.485802,17.029311
58.485897,11.589072
58.485993,2.582133
58.486089,0
58.486184,0
58.48628,0
58.486376,0
58.503888,0
58.503983,0
58.504079,0
58.504175,0
58.504271,6.26049
58.504366,20.458285
58.504462,39.747846
58.504558,53.110675
58.504653,43.829572
58.504749,25.021578
58.504845,8.107289
58.504941,1.048311
58.505036,0
58.505132,0
58.505228,0
58.505323,0
58.622756,0
58.622852,0
58.622948,0
58.623044,0
58.62314,7.696085
58.623236,15.5185
58.623332,19.836422
58.623428,19.059714
58.623524,14.147456
58.62362,4.11464
58.623716,0
58.623812,0
58.623908,0
58.624004,0
58.685211,0
58.685308,0
58.685404,0
58.6855,0
58.685596,6.992345
58.685692,15.010134
58.685788,19.0038
58.685884,17.615674
58.685981,12.940752
58.686077,2.52752
58.686173,0
58.686269,0
58.686365,0
58.686461,0
58.994239,0
58.994336,0
58.994433,0
58.99453,0
58.994627,34.465183
58.994724,194.66261
58.994821,515.322894
58.994917,906.028444
58.995014,1101.039289
58.995111,866.49894
58.995208,488.814034
58.995305,170.971954
58.995402,23.349016
58.995499,0
58.995596,0
58.995693,0
58.99579,0
58.997147,0
58.997244,0
58.997341,0
58.997438,0
58.997534,15.517483
58.997631,42.382737
58.997728,73.170211
58.997825,94.080838
58.997922,80.059324
58.998019,48.384108
58.998116,20.914317
58.998213,2.771678
58.99831,0
58.998407,0
58.998504,0
58.998601,0
59.001509,0
59.001606,0
59.001703,0
59.0018,0
59.001897,9.343529
59.001994,19.195286
59.00209,30.658973
59.002187,37.135421
59.002284,28.086393
59.002381,17.127056
59.002478,3.779754
59.002575,0
59.002672,0
59.002769,0
59.002866,0
59.047873,0
59.04797,0
59.048067,0
59.048165,0
59.048262,7.071225
59.048359,36.209178
59.048456,83.062976
59.048553,179.239749
59.04865,407.783179
59.048747,2240.126444
59.048844,8344.529376
59.048941,21439.59114
59.049038,37105.82505
59.049135,46990.18778
59.049232,39262.83731
59.049329,24556.00772
59.049426,10448.80051
59.049523,3135.144688
59.04962,657.71403
59.049717,205.747854
59.049815,87.084684
59.049912,22.92776
59.050009,2.515861
59.050106,0
59.050203,0
59.0503,0
59.050397,0
59.067677,0
59.067774,0
59.067872,0
59.067969,0
59.068066,1.528355
59.068163,76.283379
59.06826,291.754938
59.068357,583.393307
59.068454,846.663442
59.068551,804.314905
59.068648,531.32912
59.068746,244.602668
59.068843,60.994571
59.06894,5.710899
59.069037,0
59.069134,0
59.069231,0
59.069328,0
59.072339,0
59.072436,0
59.072533,0
59.07263,0
59.072727,8.199666
59.072824,17.065443
59.072921,22.627596
59.073018,22.676387
59.073116,17.069709
59.073213,5.06608
59.07331,0
59.073407,0
59.073504,0
59.073601,0
59.488328,0
59.488426,0
59.488524,0
59.488622,0
59.48872,7.735448
59.488818,14.820639
59.488916,18.318124
59.489015,17.471886
59.489113,12.956002
59.489211,1.914059
59.489309,0
59.489407,0
59.489505,0
59.489603,0
59.693877,0
59.693976,0
59.694075,0
59.694173,0
59.694272,11.192445
59.694371,19.855845
59.694469,22.078121
59.694568,18.106149
59.694667,10.339997
59.694765,2.188374
59.694864,0
59.694963,0
59.695061,0
59.69516,0
60.043148,0
60.043248,0
60.043347,0
60.043447,0
60.043546,15.047502
60.043646,53.26374
60.043745,150.157542
60.043845,276.979468
60.043944,817.835
60.044044,3088.449782
60.044143,9729.402724
60.044243,19621.56395
60.044342,29972.46985
60.044442,31674.26068
60.044541,23263.4886
60.044641,12514.9108
60.04474,4673.378083
60.04484,1112.338867
60.044939,249.220235
60.045039,146.86206
60.045139,82.307769
60.045238,12.938933
60.045338,0.183376
60.045437,0
60.045537,0
60.045636,0
60.045736,0
60.051608,0
60.051708,0
60.051807,0
60.051907,0
60.052006,0.675321
60.052106,70.274373
60.052205,341.364543
60.052305,914.183714
60.052404,1622.314764
60.052504,2054.217845
60.052603,1715.99776
60.052703,1040.534331
60.052803,416.277697
60.052902,87.378088
60.053002,7.248061
60.053101,0
60.053201,0
60.0533,0
60.0534,0
60.054893,0
60.054993,0
60.055092,0
60.055192,0
60.055291,35.636083
60.055391,150.807015
60.05549,313.976086
60.05559,449.626513
60.055689,418.941394
60.055789,272.22052
60.055888,116.53057
60.055988,21.984131
60.056088,0
60.056187,0
60.056287,0
60.056386,0
60.079887,0
60.079987,0
60.080086,0
60.080186,0
60.080286,11.114017
60.080385,141.622829
60.080485,589.641223
60.080584,1516.974821
60.080684,2671.732558
60.080784,3369.138669
60.080883,2826.831687
60.080983,1733.278114
60.081083,713.870265
60.081182,172.854127
60.081282,11.207423
60.081381,0
60.081481,0
60.081581,0
60.08168,0
60.085167,0
60.085266,0
60.085366,0
60.085466,0
60.085565,7.494923
60.085665,16.537826
60.085765,22.041022
