SPECTRUM - MS,,,
paper spray_metabolome_water_pos.raw,,,
FTMS + p NSI Full ms [50.00-100.00],,,
Scan #: 92-106,,,
RT: 0.59-0.68,,,
AV: 15,,,
Data points: 13997,,,
Mass,Intensity,Rel Abund,Peak
50.00005,0,0,FALSE
50.000126,0,0,FALSE
50.000201,0,0,FALSE
50.000277,0,0,FALSE
50.049772,0,0,FALSE
50.049848,0,0,FALSE
50.049924,0,0,FALSE
50.05,0,0,FALSE
50.050075,6.856504,0.001314826,FALSE
50.050151,12.516681,0.002400241,FALSE
50.050227,15.990509,0.003066394,TRUE
50.050303,15.162465,0.002907605,FALSE
50.050378,10.877687,0.002085942,FALSE
50.050454,0.167396,3.21004E-05,FALSE
50.05053,0,0,FALSE
50.050606,0,0,FALSE
50.050681,0,0,FALSE
50.050757,0,0,FALSE
50.056817,0,0,FALSE
50.056893,0,0,FALSE
50.056968,0,0,FALSE
50.057044,0,0,FALSE
50.05712,7.454358,0.001429473,FALSE
50.057196,12.396005,0.0023771,FALSE
50.057271,15.907002,0.00305038,FALSE
50.057347,16.19453,0.003105518,TRUE
50.057423,13.196229,0.002530553,FALSE
50.057499,8.359906,0.001603124,FALSE
50.057574,0.075679,1.45125E-05,FALSE
50.05765,0,0,FALSE
50.057726,0,0,FALSE
50.057802,0,0,FALSE
50.057877,0,0,FALSE
50.079475,0,0,FALSE
50.079551,0,0,FALSE
50.079626,0,0,FALSE
50.079702,0,0,FALSE
50.079778,4.505053,0.000863904,FALSE
50.079854,7.280464,0.001396126,FALSE
50.07993,8.686516,0.001665756,TRUE
50.080005,7.838709,0.001503177,FALSE
50.080081,5.311434,0.001018538,FALSE
50.080157,0.011195,2.14679E-06,FALSE
50.080233,0,0,FALSE
50.080309,0,0,FALSE
50.080384,0,0,FALSE
50.08046,0,0,FALSE
50.175354,0,0,FALSE
50.17543,0,0,FALSE
50.175506,0,0,FALSE
50.175582,0,0,FALSE
50.175658,11.340922,0.002174773,FALSE
50.175734,36.183503,0.00693867,FALSE
50.17581,60.783772,0.011656101,FALSE
50.175886,70.954417,0.013606458,FALSE
50.175962,82.69747,0.015858345,FALSE
50.176038,92.297657,0.017699309,FALSE
50.176114,94.172538,0.018058843,TRUE
50.17619,74.88682,0.014360549,FALSE
50.176266,42.384975,0.008127885,FALSE
50.176342,9.719211,0.001863789,FALSE
50.176418,0.100422,1.92573E-05,FALSE
50.176494,0,0,FALSE
50.17657,0,0,FALSE
50.176646,0,0,FALSE
50.176722,0,0,FALSE
50.186607,0,0,FALSE
50.186683,0,0,FALSE
50.186759,0,0,FALSE
50.186835,0,0,FALSE
50.186911,6.556048,0.00125721,FALSE
50.186987,11.100932,0.002128752,FALSE
50.187063,13.981041,0.002681051,TRUE
50.187139,13.385209,0.002566793,FALSE
50.187215,9.622515,0.001845246,FALSE
50.187291,4.872718,0.000934409,FALSE
50.187368,0.079078,1.51643E-05,FALSE
50.187444,0,0,FALSE
50.18752,0,0,FALSE
50.187596,0,0,FALSE
50.187672,0,0,FALSE
50.285006,0,0,FALSE
50.285082,0,0,FALSE
50.285158,0,0,FALSE
50.285235,0,0,FALSE
50.285311,7.009967,0.001344255,FALSE
50.285387,12.35719,0.002369656,FALSE
50.285463,14.690293,0.00281706,TRUE
50.28554,12.704663,0.002436289,FALSE
50.285616,8.064936,0.001546559,FALSE
50.285692,0.187735,3.60007E-05,FALSE
50.285769,0,0,FALSE
50.285845,0,0,FALSE
50.285921,0,0,FALSE
50.285997,0,0,FALSE
50.381935,0,0,FALSE
50.382011,0,0,FALSE
50.382088,0,0,FALSE
50.382164,0,0,FALSE
50.382241,5.881683,0.001127891,FALSE
50.382317,8.761362,0.001680108,FALSE
50.382394,9.591899,0.001839375,TRUE
50.38247,7.661743,0.001469242,FALSE
50.382547,4.202801,0.000805943,FALSE
50.382623,0.053681,1.0294E-05,FALSE
50.3827,0,0,FALSE
50.382776,0,0,FALSE
50.382853,0,0,FALSE
50.382929,0,0,FALSE
50.38576,0,0,FALSE
50.385836,0,0,FALSE
50.385913,0,0,FALSE
50.385989,0,0,FALSE
50.386066,7.82902,0.001501319,FALSE
50.386142,10.904192,0.002091025,FALSE
50.386219,11.673446,0.002238539,TRUE
50.386295,9.789648,0.001877296,FALSE
50.386372,6.447852,0.001236462,FALSE
50.386448,0.040982,7.85885E-06,FALSE
50.386525,0,0,FALSE
50.386601,0,0,FALSE
50.386678,0,0,FALSE
50.386754,0,0,FALSE
50.406881,0,0,FALSE
50.406957,0,0,FALSE
50.407034,0,0,FALSE
50.407111,0,0,FALSE
50.407187,6.153361,0.001179989,FALSE
50.407264,8.299804,0.001591598,FALSE
50.40734,8.934932,0.001713393,TRUE
50.407417,7.580742,0.001453709,FALSE
50.407493,4.87758,0.000935341,FALSE
